,va,vla,viola,
,vc,vlc,cello,
,vn,vln,violin,
,cb,,contrabass,
,db,,double bass,
,,vda,viola d'amore,
,,b.gtr,bass guitar,
,,e.gtr,electric guitar,
,,gtr,guitar,
,,,lute,
,,zith,zither,
