h,,hrm,harmonium,
,,e.pf,electric piano,
p,pf,pno,pianoforte,
o,or,org,organ,
,kb,kbd,keyboard,
,,cel,celeste,
,,clvd,clavichord,
,,hpd;hpcd,harpsichord,
,,syn,synthesiser,
